profile,size,repeat,order_position,seed,add_total_ms,add_per_record_ms,query_total_ms,query_per_record_ms,verify_total_ms,encrypt_per_record_ms,decrypt_per_record_ms,database_size_bytes
sqlite,100,1,1,2026,71.0256,0.710256,1.7756,0.017756,0.0375,0.0,0.0,49152.0
sqlite_aes,100,1,2,2026,80.1655,0.8016549999999999,2.4285,0.024285,1.0177,0.09684999999999994,0.009536999999999999,61440.0
sqlite_aes_chain,100,1,3,2026,839.4666,8.394665999999999,15.6499,0.156499,24.1197,nan,nan,196608.0
sqlite_aes,100,2,1,2026,128.5416,1.285416,4.6036,0.046036,1.6566,0.187526,0.019449999999999995,61440.0
sqlite,100,2,2,2026,108.9196,1.089196,1.5832,0.015832,0.044,0.0,0.0,49152.0
sqlite_aes_chain,100,2,3,2026,1203.2502,12.032502,12.1525,0.121525,27.6001,nan,nan,196608.0
sqlite_aes_chain,100,3,1,2026,1404.5634,14.045634,18.0114,0.180114,32.5781,nan,nan,196608.0
sqlite,100,3,2,2026,102.8872,1.028872,0.879,0.00879,0.0176,0.0,0.0,49152.0
sqlite_aes,100,3,3,2026,118.3484,1.183484,2.7507,0.027507,1.949,0.19701300000000002,0.010858,61440.0
sqlite_aes_chain,100,4,1,2026,1186.7351,11.867351000000001,17.8039,0.17803899999999998,29.8458,nan,nan,196608.0
sqlite,100,4,2,2026,186.8941,1.8689410000000002,2.2506,0.022505999999999998,0.0464,0.0,0.0,49152.0
sqlite_aes,100,4,3,2026,120.6105,1.206105,4.7041,0.047041000000000006,1.6108,0.189589,0.014653000000000001,61440.0
sqlite_aes,100,5,1,2026,153.5505,1.535505,3.7338,0.037338,1.6917,0.24605800000000008,0.014111999999999996,61440.0
sqlite_aes_chain,100,5,2,2026,1288.6269,12.886269,14.6494,0.146494,22.4033,nan,nan,196608.0
sqlite,100,5,3,2026,77.2999,0.772999,1.5014,0.015014000000000001,0.0423,0.0,0.0,49152.0
sqlite_aes,100,6,1,2026,101.6857,1.016857,2.512,0.02512,0.8937,0.13797099999999998,0.009212999999999997,61440.0
sqlite,100,6,2,2026,91.2096,0.9120959999999999,1.5123,0.015123,0.0273,0.0,0.0,49152.0
sqlite_aes_chain,100,6,3,2026,990.5612,9.905612,10.7404,0.107404,23.5152,nan,nan,196608.0
sqlite_aes_chain,100,7,1,2026,866.4256,8.664256,15.0154,0.150154,22.6648,nan,nan,196608.0
sqlite_aes,100,7,2,2026,82.8757,0.828757,2.4056,0.024056,0.8678,0.10817599999999997,0.008343999999999996,61440.0
sqlite,100,7,3,2026,71.5862,0.715862,1.8141,0.018141,0.0329,0.0,0.0,49152.0
sqlite,100,8,1,2026,67.051,0.67051,1.1069,0.011069,0.017,0.0,0.0,49152.0
sqlite_aes_chain,100,8,2,2026,807.2452,8.072452,10.9992,0.109992,15.4934,nan,nan,196608.0
sqlite_aes,100,8,3,2026,74.1852,0.741852,2.4291,0.024291,0.8931,0.08217599999999997,0.008737999999999998,61440.0
sqlite_aes_chain,100,9,1,2026,769.4857,7.694857,10.6028,0.106028,21.5399,nan,nan,196608.0
sqlite,100,9,2,2026,75.0336,0.7503360000000001,0.9691,0.009691,0.0321,0.0,0.0,49152.0
sqlite_aes,100,9,3,2026,84.2993,0.842993,2.3902,0.023902,0.8876,0.09788200000000001,0.008883,61440.0
sqlite,100,10,1,2026,68.4762,0.6847620000000001,0.773,0.00773,0.0145,0.0,0.0,49152.0
sqlite_aes_chain,100,10,2,2026,759.1874,7.591874000000001,10.4712,0.104712,16.1403,nan,nan,196608.0
sqlite_aes,100,10,3,2026,76.8159,0.768159,3.5372,0.035372,1.2167,0.089042,0.013469999999999996,61440.0
sqlite_aes,100,11,1,2026,98.995,0.98995,2.2639,0.022639,1.3998,0.14033500000000002,0.008486999999999993,61440.0
sqlite,100,11,2,2026,97.3891,0.973891,1.6271,0.016271,0.0427,0.0,0.0,49152.0
sqlite_aes_chain,100,11,3,2026,1069.2306,10.692306,16.9778,0.16977799999999998,19.9336,nan,nan,196608.0
sqlite_aes,100,12,1,2026,83.313,0.83313,3.0899,0.030899,1.2975,0.094352,0.011466,61440.0
sqlite_aes_chain,100,12,2,2026,1003.3625,10.033624999999999,15.6767,0.156767,19.5177,nan,nan,196608.0
sqlite,100,12,3,2026,110.8887,1.108887,1.3036,0.013036,0.018,0.0,0.0,49152.0
sqlite_aes_chain,100,13,1,2026,1208.191,12.08191,15.7553,0.157553,19.3397,nan,nan,196608.0
sqlite_aes,100,13,2,2026,109.0438,1.090438,2.7007,0.027007,1.0658,0.14338000000000006,0.010223000000000005,61440.0
sqlite,100,13,3,2026,85.1519,0.851519,1.9306,0.019306,0.0581,0.0,0.0,49152.0
sqlite_aes_chain,100,14,1,2026,950.0166,9.500166,8.9837,0.089837,18.7147,nan,nan,196608.0
sqlite,100,14,2,2026,75.227,0.75227,1.14,0.011399999999999999,0.0216,0.0,0.0,49152.0
sqlite_aes,100,14,3,2026,80.0854,0.8008540000000001,2.1273,0.021273,0.8107,0.09388500000000001,0.007847999999999996,61440.0
sqlite,100,15,1,2026,67.9758,0.6797580000000001,0.863,0.00863,0.0175,0.0,0.0,49152.0
sqlite_aes,100,15,2,2026,82.4876,0.824876,3.2809,0.032809,1.4959,0.10875900000000006,0.012210999999999996,61440.0
sqlite_aes_chain,100,15,3,2026,828.5144,8.285144,10.1729,0.101729,18.2976,nan,nan,196608.0
sqlite_aes,100,16,1,2026,87.9124,0.879124,3.9077,0.039077,1.4265,0.10560600000000003,0.014586999999999996,61440.0
sqlite_aes_chain,100,16,2,2026,889.3807,8.893807,12.4306,0.124306,21.424,nan,nan,196608.0
sqlite,100,16,3,2026,74.4365,0.7443649999999999,1.6935,0.016935,0.0356,0.0,0.0,49152.0
sqlite_aes_chain,100,17,1,2026,868.8236,8.688236,12.2524,0.122524,21.0498,nan,nan,196608.0
sqlite,100,17,2,2026,73.4322,0.7343219999999999,1.6286,0.016286000000000002,0.0392,0.0,0.0,49152.0
sqlite_aes,100,17,3,2026,77.9947,0.779947,2.5341,0.025341,1.0537,0.092831,0.009045999999999995,61440.0
sqlite_aes,100,18,1,2026,78.8616,0.788616,2.2913,0.022913000000000003,0.8718,0.09425400000000002,0.008510999999999998,61440.0
sqlite,100,18,2,2026,64.9364,0.649364,0.7888,0.007888,0.0153,0.0,0.0,49152.0
sqlite_aes_chain,100,18,3,2026,759.4621,7.594621,16.5804,0.165804,22.6704,nan,nan,196608.0
sqlite_aes_chain,100,19,1,2026,1237.7174,12.377174,22.6249,0.226249,41.2166,nan,nan,196608.0
sqlite,100,19,2,2026,191.7483,1.917483,2.0218,0.020218,0.0418,0.0,0.0,49152.0
sqlite_aes,100,19,3,2026,137.3442,1.373442,4.22,0.042199999999999994,1.2861,0.2353109999999999,0.017136,61440.0
sqlite_aes,100,20,1,2026,141.3765,1.413765,12.6111,0.126111,1.7311,0.21940900000000002,0.059218,61440.0
sqlite_aes_chain,100,20,2,2026,1963.1337,19.631337000000002,23.0745,0.230745,35.7243,nan,nan,196608.0
sqlite,100,20,3,2026,114.7871,1.1478709999999999,1.9132,0.019132,0.0585,0.0,0.0,49152.0
sqlite_aes_chain,100,21,1,2026,1208.4501,12.084501,14.1254,0.14125400000000002,23.2493,nan,nan,196608.0
sqlite,100,21,2,2026,89.4008,0.894008,1.8581,0.018581,0.0446,0.0,0.0,49152.0
sqlite_aes,100,21,3,2026,103.2801,1.032801,2.6962,0.026962,1.4112,0.1546300000000001,0.010011999999999998,61440.0
sqlite,100,22,1,2026,71.5544,0.715544,1.4305,0.014305000000000002,0.0362,0.0,0.0,49152.0
sqlite_aes_chain,100,22,2,2026,770.9172,7.709172,11.0894,0.11089399999999999,16.2321,nan,nan,196608.0
sqlite_aes,100,22,3,2026,77.3746,0.773746,2.4288,0.024287999999999997,0.7766,0.08996699999999999,0.008666000000000005,61440.0
sqlite_aes_chain,100,23,1,2026,747.5512,7.475512,12.3063,0.123063,14.0773,nan,nan,196608.0
sqlite_aes,100,23,2,2026,75.5808,0.7558079999999999,2.0122,0.020122,0.7583,0.078911,0.007299000000000003,61440.0
sqlite,100,23,3,2026,69.0363,0.690363,0.7978,0.007977999999999999,0.0146,0.0,0.0,49152.0
sqlite_aes,100,24,1,2026,76.1412,0.761412,2.0998,0.020998000000000003,0.7541,0.07863799999999999,0.007497999999999998,61440.0
sqlite,100,24,2,2026,66.6866,0.666866,1.3539,0.013539,0.0302,0.0,0.0,49152.0
sqlite_aes_chain,100,24,3,2026,767.9218,7.679218,8.9848,0.089848,18.6637,nan,nan,196608.0
sqlite_aes_chain,100,25,1,2026,868.5864,8.685864,9.046,0.09046,19.2365,nan,nan,196608.0
sqlite_aes,100,25,2,2026,82.6495,0.826495,2.9864,0.029864,1.2376,0.09998699999999996,0.010858000000000001,61440.0
sqlite,100,25,3,2026,67.4031,0.6740309999999999,1.0193,0.010193,0.0217,0.0,0.0,49152.0
sqlite_aes_chain,100,26,1,2026,790.2855,7.902855,12.0156,0.12015599999999999,18.5624,nan,nan,196608.0
sqlite_aes,100,26,2,2026,81.8841,0.818841,2.1944,0.021943999999999998,0.9518,0.10399900000000006,0.007771000000000001,61440.0
sqlite,100,26,3,2026,80.3646,0.803646,1.8275,0.018275,0.045,0.0,0.0,49152.0
sqlite_aes_chain,100,27,1,2026,987.4882,9.874882,11.5627,0.115627,17.3842,nan,nan,196608.0
sqlite,100,27,2,2026,84.4814,0.844814,1.3467,0.013467,0.0367,0.0,0.0,49152.0
sqlite_aes,100,27,3,2026,97.258,0.97258,2.5965,0.025965,0.8966,0.133047,0.00929499999999999,61440.0
sqlite_aes_chain,100,28,1,2026,861.4537,8.614537,8.6421,0.086421,18.3457,nan,nan,196608.0
sqlite,100,28,2,2026,73.295,0.73295,1.0881,0.010881,0.0234,0.0,0.0,49152.0
sqlite_aes,100,28,3,2026,84.7767,0.847767,2.8062,0.028062,1.4394,0.10243999999999996,0.010518999999999999,61440.0
sqlite,100,29,1,2026,89.1963,0.891963,2.0558,0.020558,0.0624,0.0,0.0,49152.0
sqlite_aes,100,29,2,2026,89.9566,0.899566,2.7467,0.027467000000000002,2.4257,0.09945600000000004,0.010292999999999998,61440.0
sqlite_aes_chain,100,29,3,2026,900.0017,9.000017,15.0494,0.15049400000000002,16.1005,nan,nan,196608.0
sqlite_aes_chain,100,30,1,2026,896.2798,8.962798,10.1708,0.10170799999999999,18.1712,nan,nan,196608.0
sqlite_aes,100,30,2,2026,81.0285,0.8102849999999999,2.4325,0.024325,0.8371,0.09499799999999997,0.008814000000000002,61440.0
sqlite,100,30,3,2026,71.7491,0.717491,0.827,0.00827,0.0161,0.0,0.0,49152.0
sqlite_aes,1000,1,1,2026,785.0576,0.7850576,32.8828,0.032882800000000004,12.5318,0.09132620000000005,0.013248799999999993,503808.0
sqlite_aes_chain,1000,1,2,2026,10549.3018,10.549301799999999,81.652,0.081652,210.0595,nan,nan,1441792.0
sqlite,1000,1,3,2026,860.6848,0.8606848,13.9801,0.0139801,0.3319,0.0,0.0,401408.0
sqlite_aes_chain,1000,2,1,2026,12482.4105,12.4824105,79.9223,0.0799223,330.633,nan,nan,1433600.0
sqlite,1000,2,2,2026,864.591,0.864591,15.7893,0.0157893,0.3263,0.0,0.0,401408.0
sqlite_aes,1000,2,3,2026,863.6072,0.8636072,25.7948,0.0257948,8.4929,0.11226669999999986,0.009785900000000004,507904.0
sqlite,1000,3,1,2026,715.0988,0.7150988,8.8231,0.0088231,0.184,0.0,0.0,401408.0
sqlite_aes_chain,1000,3,2,2026,8933.67,8.93367,78.163,0.078163,152.9799,nan,nan,1445888.0
sqlite_aes,1000,3,3,2026,824.6005,0.8246005,28.1344,0.0281344,9.596,0.10079769999999993,0.011286299999999987,507904.0
sqlite_aes_chain,1000,4,1,2026,9308.7314,9.308731400000001,71.2132,0.0712132,148.7459,nan,nan,1429504.0
sqlite,1000,4,2,2026,791.749,0.791749,8.3733,0.0083733,0.1842,0.0,0.0,401408.0
sqlite_aes,1000,4,3,2026,790.2039,0.7902039,25.6832,0.0256832,9.0191,0.08848600000000006,0.010378700000000018,507904.0
sqlite,1000,5,1,2026,699.3849,0.6993849,7.7866,0.0077866,0.2886,0.0,0.0,401408.0
sqlite_aes_chain,1000,5,2,2026,11741.8815,11.7418815,76.2663,0.0762663,156.1332,nan,nan,1433600.0
sqlite_aes,1000,5,3,2026,751.943,0.751943,28.7904,0.0287904,11.897,0.08075730000000007,0.011575899999999983,507904.0
sqlite_aes_chain,1000,6,1,2026,12366.6182,12.366618200000001,91.0683,0.09106829999999999,161.0165,nan,nan,1425408.0
sqlite,1000,6,2,2026,926.1207,0.9261207,7.866,0.007866,0.2036,0.0,0.0,401408.0
sqlite_aes,1000,6,3,2026,1098.1266,1.0981266,23.9133,0.0239133,9.0636,0.11025630000000013,0.009266299999999983,507904.0
sqlite,1000,7,1,2026,1050.0167,1.0500166999999998,14.5929,0.0145929,0.5939,0.0,0.0,401408.0
sqlite_aes,1000,7,2,2026,1115.6135,1.1156135,38.2029,0.0382029,20.5623,0.1311989,0.01485069999999999,507904.0
sqlite_aes_chain,1000,7,3,2026,12083.9353,12.083935299999998,81.046,0.081046,153.5323,nan,nan,1429504.0
sqlite_aes,1000,8,1,2026,724.2711,0.7242711000000001,31.5913,0.0315913,7.7365,0.07756850000000001,0.016207600000000013,503808.0
sqlite,1000,8,2,2026,621.9234,0.6219234,8.444,0.008444,0.1943,0.0,0.0,401408.0
sqlite_aes_chain,1000,8,3,2026,9060.1117,9.0601117,93.7064,0.0937064,186.151,nan,nan,1425408.0
sqlite,1000,9,1,2026,718.0195,0.7180195,8.209,0.008209,0.1855,0.0,0.0,401408.0
sqlite_aes,1000,9,2,2026,726.9686,0.7269686000000001,23.7129,0.023712900000000002,10.0364,0.07595649999999994,0.009451799999999986,503808.0
sqlite_aes_chain,1000,9,3,2026,9746.4821,9.7464821,70.9776,0.0709776,153.7148,nan,nan,1425408.0
sqlite_aes_chain,1000,10,1,2026,9764.6471,9.7646471,76.8811,0.07688110000000001,147.9012,nan,nan,1433600.0
sqlite_aes,1000,10,2,2026,872.5332,0.8725332,22.3967,0.0223967,10.2865,0.06853850000000009,0.008597699999999996,503808.0
sqlite,1000,10,3,2026,691.3761,0.6913760999999999,11.6705,0.0116705,0.2151,0.0,0.0,401408.0
sqlite_aes_chain,1000,11,1,2026,9855.101,9.855101000000001,64.0119,0.0640119,140.578,nan,nan,1429504.0
sqlite,1000,11,2,2026,766.182,0.766182,10.8579,0.0108579,0.164,0.0,0.0,401408.0
sqlite_aes,1000,11,3,2026,988.7596,0.9887596,31.2031,0.031203099999999998,9.5077,0.09209450000000015,0.0122738,507904.0
sqlite_aes,1000,12,1,2026,1036.3434,1.0363434,30.3444,0.0303444,9.3674,0.10217310000000002,0.012212699999999974,503808.0
sqlite,1000,12,2,2026,709.3054,0.7093054,7.8114,0.0078114,0.1653,0.0,0.0,401408.0
sqlite_aes_chain,1000,12,3,2026,11557.5124,11.5575124,95.1086,0.0951086,199.7449,nan,nan,1429504.0
sqlite_aes_chain,1000,13,1,2026,14401.925,14.401924999999999,86.2613,0.0862613,148.7119,nan,nan,1433600.0
sqlite_aes,1000,13,2,2026,1108.2134,1.1082134000000001,71.6857,0.07168569999999999,25.0222,0.119682,0.027996599999999993,503808.0
sqlite,1000,13,3,2026,1208.5821,1.2085821,15.989,0.015989,0.3372,0.0,0.0,401408.0
sqlite_aes,1000,14,1,2026,1589.4295,1.5894295,55.7613,0.0557613,17.3846,0.25765599999999994,0.022095900000000012,503808.0
sqlite,1000,14,2,2026,879.7649,0.8797649,23.0474,0.0230474,0.469,0.0,0.0,401408.0
sqlite_aes_chain,1000,14,3,2026,12374.2021,12.3742021,63.9761,0.06397610000000001,134.4735,nan,nan,1429504.0
sqlite_aes_chain,1000,15,1,2026,11599.0862,11.5990862,90.3838,0.0903838,176.727,nan,nan,1425408.0
sqlite,1000,15,2,2026,1039.5244,1.0395244,7.8384,0.0078384,0.1597,0.0,0.0,401408.0
sqlite_aes,1000,15,3,2026,995.9837,0.9959837,23.9671,0.023967099999999998,8.1527,0.08903730000000004,0.00949240000000001,503808.0
sqlite_aes_chain,1000,16,1,2026,11495.3006,11.4953006,83.9602,0.0839602,183.1339,nan,nan,1433600.0
sqlite_aes,1000,16,2,2026,867.3081,0.8673080999999999,31.1632,0.0311632,10.0619,0.09383479999999991,0.012982099999999984,503808.0
sqlite,1000,16,3,2026,763.6542,0.7636542,13.3101,0.0133101,0.5863,0.0,0.0,401408.0
sqlite_aes_chain,1000,17,1,2026,10919.1808,10.9191808,162.1057,0.16210570000000002,347.9231,nan,nan,1425408.0
sqlite_aes,1000,17,2,2026,1131.8076,1.1318076000000001,22.7983,0.0227983,7.9722,0.1626676000000001,0.008856799999999998,507904.0
